Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
101	809.7152	13.228283	827.42316	789.2836	1000.0	74.7212	7.4475927	94.554665	46.51208	510000	2.0980835e-09	300.39978	-0.040084142	-66.980576	5.4470897	0.009244896	0.2328	79.0	1238.5237357616425
102	820.6257	56.224705	859.5553	710.5298	1000.0	80.14485	7.5566196	104.83754	57.37799	515000	-9.536743e-09	406.36517	-0.019680109	-129.10751	5.3872204	0.01862365	0.2224	11.0	1250.5413665771484
103	682.74255	142.14761	779.5611	404.08627	1000.0	65.90176	19.241907	110.36599	0.57289064	520000	-1.9073486e-08	270.4339	-0.013332525	-75.48627	5.427204	0.015376241	0.1704	4.0	1262.8215551376343
104	801.47705	47.19331	847.5822	712.2378	1000.0	71.18315	6.3546267	95.02741	40.367233	525000	-2.2888185e-09	283.71805	-0.01976437	-71.0591	5.396631	0.015508097	0.2122	15.0	1275.4948241710663
105	780.80963	61.818615	859.72504	707.0412	1000.0	67.51699	9.992921	97.492096	33.137867	530000	-1.449585e-08	362.93326	-0.02893002	-141.40585	5.3965783	0.015078741	0.1964	20.0	1287.786690235138
106	828.0454	15.728476	849.6384	808.2506	1000.0	77.98992	5.2545476	101.77192	63.4029	535000	9.346008e-09	303.68314	-0.033377677	-93.87843	5.3860435	0.008859324	0.22	79.0	1301.008894443512
107	822.9681	18.675383	846.65857	802.9849	1000.0	74.251854	8.966744	96.60218	48.74497	540000	3.6239625e-09	257.2505	-0.036820266	-62.45125	5.3476205	0.0126575865	0.2202	79.0	1313.8644239902496
108	830.6797	27.492104	864.1089	789.7124	1000.0	74.23032	7.0627675	104.758865	50.637375	545000	-1.2969971e-08	297.0269	-0.02589587	-106.380905	5.3731017	0.0150866425	0.186	25.0	1326.6621580123901
109	816.4755	31.28707	855.8821	768.66364	1000.0	75.88165	8.042226	101.071724	30.511314	550000	7.247925e-09	409.831	-0.009407093	-193.92325	5.3781657	0.016176702	0.2184	4.0	1339.3105528354645
110	821.4208	25.576513	849.20233	784.8489	1000.0	75.19593	7.0885553	97.942825	53.602474	555000	2.670288e-09	347.2046	-0.0068017025	-187.30673	5.3391685	0.015699	0.212	4.0	1351.5418825149536
111	828.9077	45.468246	890.4538	762.3096	1000.0	70.32869	12.763105	99.83938	26.159739	560000	2.2220611e-08	374.44495	-0.021638433	-168.85587	5.3624907	0.016666928	0.2146	11.0	1363.842759847641
112	845.3629	39.803223	891.44336	772.84705	1000.0	78.323586	6.657348	97.025795	54.194195	565000	1.1730194e-08	299.73895	-0.026545523	-93.42766	5.285456	0.0150299575	0.1972	24.0	1376.1352672576904
113	807.63635	47.19164	870.47095	752.6906	1000.0	72.7056	12.352523	101.32648	32.422195	570000	1.7356873e-08	324.22705	-0.008517618	-114.84952	5.292901	0.012865164	0.2134	4.0	1387.6067938804626
114	864.3375	24.516562	888.0992	831.0129	1000.0	78.97944	6.5822096	106.689476	59.786186	575000	-7.6293943e-10	361.2791	-0.018341562	-165.60464	5.2673197	0.015886236	0.2584	12.0	1399.4396913051605
115	853.5553	24.345896	887.7539	818.4236	1000.0	78.752785	9.407847	111.37143	45.59721	580000	5.340576e-09	388.5686	-0.016676472	-123.74509	5.2945366	0.015390449	0.1998	9.0	1411.8875415325165
116	864.95685	28.289165	909.515	825.9836	1000.0	77.50374	9.408484	102.55432	46.287697	585000	1.0490417e-08	353.86768	-0.039166752	-106.19403	5.2126713	0.0082618	0.2414	79.0	1424.827838420868
117	870.70215	22.842785	898.2764	836.0647	1000.0	76.906425	6.385004	97.97289	49.72165	590000	1.0490417e-08	327.98166	-0.04101779	-66.227875	5.2773914	0.01434953	0.2474	79.0	1437.3509039878845
118	841.5604	42.29537	871.46826	758.0492	1000.0	76.51975	9.168101	100.70424	45.416946	595000	1.8501282e-08	314.4763	-0.020289833	-91.28378	5.274249	0.017596874	0.2264	11.0	1449.1359379291534
119	884.1826	24.31345	913.82025	839.8214	1000.0	77.67005	7.225818	111.08839	51.791588	600000	6.2942505e-09	318.88867	-0.035532888	-51.472565	5.2230377	0.011933539	0.2246	79.0	1461.810066461563
120	821.6678	85.74556	924.8771	704.2636	1000.0	79.38752	8.908442	111.594795	40.43415	605000	-9.346008e-09	396.4714	-0.021946955	-165.27286	5.20044	0.017158294	0.219	11.0	1474.1947934627533
121	892.79474	21.48964	920.0898	859.9062	1000.0	79.85994	4.969967	93.28238	57.30927	610000	9.155274e-09	331.3449	-0.03862707	-81.050156	5.255161	0.0041165743	0.2464	79.0	1486.3448519706726
122	895.01855	17.792303	924.08777	873.73627	1000.0	79.11046	7.4096546	105.97655	47.36626	615000	5.0544737e-09	313.73193	-0.020661077	-70.04591	5.224056	0.017162064	0.213	12.0	1498.047657251358
123	878.5104	31.487837	917.452	828.66956	1000.0	81.61116	9.386641	123.54545	62.190174	620000	1.1444092e-09	429.8906	-0.045424227	-213.69987	5.2168217	0.008729318	0.253	79.0	1510.9818942546844
124	882.2506	19.766232	917.0063	862.45544	1000.0	74.7282	11.736661	107.944084	38.648705	625000	-2.4795532e-09	463.2419	-0.04818442	-225.18074	5.188363	0.0116211865	0.2666	79.0	1520.520825624466
